height,pressure,temp,tdew
m,hPa,K,K
8148.30,364.13,239.46,212.92
8161.70,363.44,239.38,214.54
8175.20,362.74,239.29,216.75
8188.20,362.07,239.16,218.68
8199.70,361.47,239.04,220.12
8211.70,360.85,238.93,221.25
8225.40,360.14,238.83,222.23
8239.60,359.41,238.71,222.96
8254.20,358.66,238.58,223.48
8267.70,357.97,238.46,223.74
8279.60,357.36,238.34,223.65
8291.80,356.74,238.24,223.11
8304.50,356.09,238.14,222.19
8317.00,355.45,238.04,221.85
8329.50,354.81,237.96,222.57
8340.90,354.23,237.89,223.73
8352.70,353.63,237.80,224.57
8365.20,353.00,237.68,224.98
8378.10,352.34,237.55,225.08
8390.40,351.72,237.44,225.17
8403.50,351.06,237.33,225.29
8416.90,350.38,237.22,225.35
8428.60,349.79,237.10,225.39
8440.50,349.19,236.94,225.42
8453.80,348.52,236.81,225.45
8467.20,347.85,236.72,225.45
8480.40,347.19,236.60,225.44
8492.80,346.57,236.46,225.39
8504.10,346.00,236.31,225.32
8516.00,345.41,236.19,225.32
8529.20,344.75,236.07,225.35
8541.90,344.11,235.94,225.34
8553.60,343.53,235.85,225.29
8565.80,342.92,235.74,225.26
8578.10,342.31,235.63,225.22
8589.60,341.74,235.52,225.14
8602.50,341.11,235.41,225.11
8615.40,340.47,235.32,225.09
8626.50,339.92,235.20,224.95
8637.60,339.37,235.08,224.85
8650.70,338.73,234.95,224.86
8663.50,338.09,234.84,224.92
8676.50,337.45,234.69,224.89
8690.80,336.76,234.55,224.78
8705.30,336.05,234.42,224.69
8718.30,335.41,234.31,224.58
8731.20,334.78,234.21,224.55
8744.00,334.15,234.04,224.51
8756.60,333.54,233.91,224.53
8769.50,332.91,233.80,224.65
8781.80,332.31,233.69,224.74
8794.20,331.71,233.61,224.81
8807.00,331.09,233.48,224.81
8820.30,330.45,233.37,224.81
8834.00,329.78,233.29,224.89
8846.30,329.19,233.14,225.02
8856.40,328.70,232.98,225.15
8868.00,328.15,232.89,225.32
8880.90,327.53,232.81,225.52
8893.90,326.90,232.68,225.67
8906.20,326.31,232.57,225.81
8919.20,325.69,232.46,225.84
8933.10,325.03,232.32,225.72
8945.70,324.42,232.22,225.50
8957.40,323.86,232.10,225.11
8969.90,323.27,232.01,224.71
8981.90,322.70,231.98,224.67
8993.40,322.15,231.95,224.90
9005.10,321.60,231.88,224.92
